Censo,Habitat,Evento,Densidad_ind_100m2
10,ArrecifeRocoso,PreMareaRoja,30
11,ArrecifeRocoso,PreMareaRoja,27
12,ArrecifeRocoso,PreMareaRoja,28
13,ArrecifeRocoso,PreMareaRoja,32
14,ArrecifeRocoso,PreMareaRoja,30
15,ArrecifeRocoso,PreMareaRoja,29
16,ArrecifeRocoso,PreMareaRoja,31
17,ArrecifeRocoso,PreMareaRoja,28
18,ArrecifeRocoso,PreMareaRoja,30
19,ArrecifeRocoso,PreMareaRoja,32
20,ArrecifeRocoso,PreMareaRoja,31
1,ArrecifeRocoso,PostMareaRoja,22
2,ArrecifeRocoso,PostMareaRoja,20
3,ArrecifeRocoso,PostMareaRoja,24
4,ArrecifeRocoso,PostMareaRoja,20
5,ArrecifeRocoso,PostMareaRoja,21
6,ArrecifeRocoso,PostMareaRoja,22
7,ArrecifeRocoso,PostMareaRoja,19
8,ArrecifeRocoso,PostMareaRoja,21
9,ArrecifeRocoso,PostMareaRoja,24
10,ArrecifeRocoso,PostMareaRoja,20
11,ArrecifeRocoso,PostMareaRoja,17
12,ArrecifeRocoso,PostMareaRoja,18
13,ArrecifeRocoso,PostMareaRoja,21
14,ArrecifeRocoso,PostMareaRoja,22
15,ArrecifeRocoso,PostMareaRoja,19
16,ArrecifeRocoso,PostMareaRoja,23
17,ArrecifeRocoso,PostMareaRoja,21
18,ArrecifeRocoso,PostMareaRoja,20
19,ArrecifeRocoso,PostMareaRoja,22
20,ArrecifeRocoso,PostMareaRoja,21
1,Manglar,PreMareaRoja,12
2,Manglar,PreMareaRoja,10
3,Manglar,PreMareaRoja,14
4,Manglar,PreMareaRoja,9
5,Manglar,PreMareaRoja,11
6,Manglar,PreMareaRoja,13
7,Manglar,PreMareaRoja,11
8,Manglar,PreMareaRoja,10
9,Manglar,PreMareaRoja,14
10,Manglar,PreMareaRoja,9
11,Manglar,PreMareaRoja,13
12,Manglar,PreMareaRoja,10
13,Manglar,PreMareaRoja,12
14,Manglar,PreMareaRoja,11
15,Manglar,PreMareaRoja,13
16,Manglar,PreMareaRoja,9
17,Manglar,PreMareaRoja,14
18,Manglar,PreMareaRoja,11
19,Manglar,PreMareaRoja,12
20,Manglar,PreMareaRoja,10
1,Manglar,PostMareaRoja,7
2,Manglar,PostMareaRoja,6
3,Manglar,PostMareaRoja,8
4,Manglar,PostMareaRoja,6
5,Manglar,PostMareaRoja,7
6,Manglar,PostMareaRoja,9
7,Manglar,PostMareaRoja,6
8,Manglar,PostMareaRoja,5
9,Manglar,PostMareaRoja,8
10,Manglar,PostMareaRoja,5
11,Manglar,PostMareaRoja,8
12,Manglar,PostMareaRoja,6
13,Manglar,PostMareaRoja,7
14,Manglar,PostMareaRoja,7
15,Manglar,PostMareaRoja,8
16,Manglar,PostMareaRoja,5
17,Manglar,PostMareaRoja,8
18,Manglar,PostMareaRoja,6
19,Manglar,PostMareaRoja,7
20,Manglar,PostMareaRoja,6
1,LitoralRocoso,PreMareaRoja,20
2,LitoralRocoso,PreMareaRoja,21
3,LitoralRocoso,PreMareaRoja,18
4,LitoralRocoso,PreMareaRoja,19
5,LitoralRocoso,PreMareaRoja,22
6,LitoralRocoso,PreMareaRoja,23
7,LitoralRocoso,PreMareaRoja,20
8,LitoralRocoso,PreMareaRoja,21
9,LitoralRocoso,PreMareaRoja,18
10,LitoralRocoso,PreMareaRoja,19
11,LitoralRocoso,PreMareaRoja,22
12,LitoralRocoso,PreMareaRoja,23
13,LitoralRocoso,PreMareaRoja,20
14,LitoralRocoso,PreMareaRoja,21
15,LitoralRocoso,PreMareaRoja,18
16,LitoralRocoso,PreMareaRoja,19
17,LitoralRocoso,PreMareaRoja,22
18,LitoralRocoso,PreMareaRoja,23
19,LitoralRocoso,PreMareaRoja,20
20,LitoralRocoso,PreMareaRoja,21
1,LitoralRocoso,PostMareaRoja,13
2,LitoralRocoso,PostMareaRoja,12
3,LitoralRocoso,PostMareaRoja,11
4,LitoralRocoso,PostMareaRoja,10
5,LitoralRocoso,PostMareaRoja,13
6,LitoralRocoso,PostMareaRoja,14
7,LitoralRocoso,PostMareaRoja,12
8,LitoralRocoso,PostMareaRoja,13
9,LitoralRocoso,PostMareaRoja,11
10,LitoralRocoso,PostMareaRoja,12
11,LitoralRocoso,PostMareaRoja,13
12,LitoralRocoso,PostMareaRoja,14
13,LitoralRocoso,PostMareaRoja,12
14,LitoralRocoso,PostMareaRoja,13
15,LitoralRocoso,PostMareaRoja,11
16,LitoralRocoso,PostMareaRoja,12
17,LitoralRocoso,PostMareaRoja,13
18,LitoralRocoso,PostMareaRoja,14
19,LitoralRocoso,PostMareaRoja,12
20,LitoralRocoso,PostMareaRoja,13
